1	258
2	0
3	4
4	3
5	9
6	22
7	21
8	39
9	42
10	66
11	66
12	83
13	85
14	81
15	70
16	90
17	107
18	94
19	81
20	85
21	111
22	87
23	99
24	96
25	110
26	125
27	135
28	155
29	163
30	200
31	230
32	291
33	384
34	491
35	573
36	707
37	839
38	957
39	1045
40	1085
41	1281
42	1290
43	1440
44	1386
45	1414
46	1428
47	1328
48	1303
49	1327
50	1221
51	1170
52	1143
53	1050
54	962
55	906
56	856
57	841
58	739
59	716
60	666
61	646
62	542
63	534
64	488
65	518
66	435
67	441
68	403
69	400
70	386
71	359
72	342
73	303
74	305
75	271
76	281
77	270
78	286
79	252
80	266
81	222
82	213
83	240
84	242
85	221
86	185
87	238
88	197
89	219
90	198
91	188
92	203
93	175
94	181
95	180
96	187
97	157
98	156
99	168
100	176
101	172
102	170
103	143
104	164
105	172
106	158
107	186
108	159
109	131
110	119
111	158
112	122
113	152
114	147
115	137
116	146
117	143
118	165
119	140
120	153
121	136
122	134
123	144
124	166
125	161
126	145
127	129
128	140
129	146
130	147
131	151
132	135
133	124
134	141
135	122
136	149
137	131
138	149
139	145
140	156
141	137
142	161
143	139
144	146
145	127
146	134
147	131
148	122
149	151
150	146
151	180
152	180
153	126
154	166
155	160
156	156
157	143
158	146
159	132
160	119
161	139
162	128
163	153
164	125
165	136
166	152
167	119
168	122
169	135
170	153
171	141
172	130
173	108
174	111
175	111
176	108
177	107
178	99
179	127
180	114
181	118
182	113
183	103
184	118
185	95
186	101
187	92
188	100
189	89
190	91
191	117
192	86
193	87
194	82
195	93
196	91
197	98
198	76
199	77
200	69
201	76
202	75
203	76
204	87
205	75
206	74
207	57
208	61
209	69
210	59
211	71
212	52
213	56
214	60
215	56
216	69
217	55
218	51
219	47
220	54
221	59
222	56
223	40
224	46
225	45
226	51
227	36
228	37
229	40
230	52
231	51
232	46
233	43
234	42
235	42
236	41
237	28
238	40
239	29
240	38
241	28
242	34
243	24
244	31
245	35
246	37
247	39
248	34
249	49
250	42
251	50
252	46
253	42
254	62
255	86
256	6221
65536
65536
